,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Zip Code,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations
92335,40307585,26,41533344,25,42373637,26,41412743,28,32292942,23,36564673,21,35583388,26,46437583,31,49973608,32,45279429,29,52251410,33
92345,31418457,25,34452603,23,43602172,25,40061644,26,42776336,27,32951437,23,37662705,25,49717540,31,49111295,31,42647229,29,45563144,31
93274,23833544,33,21468451,33,25974579,35,18113663,32,18723572,23,17607852,18,29273972,28,29339292,32,32427642,35,30298098,32,28912940,31
93308,47231723,31,40469299,27,46868663,29,39540067,30,44313275,29,34771947,20,35528578,20,46269091,28,43221559,27,41827544,27,45581873,29
93257,12484937,26,14064487,27,13159923,28,19516835,31,10965843,27,12945291,26,12465517,22,17308036,27,19620211,30,19775032,30,17926018,27
93307,13982999,24,12580102,17,15029097,19,17593892,22,14707215,19,14805934,18,16380697,18,21272703,26,20454171,24,20057200,25,23622833,27
93230,18449002,20,18912378,22,15670835,20,17468290,22,12648832,17,9457059,16,17672959,19,22275132,22,26827212,22,24588906,23,35435683,26
92509,26040124,17,25646803,17,22786596,17,26691374,21,26193824,19,21274264,16,26671528,16,35370687,22,38704310,21,41128007,24,40906652,24
93446,29719237,23,33326885,23,27891125,23,22382298,19,24362959,18,21367428,20,29189042,24,31297986,24,30317583,24,29932659,24,29968439,24
91761,31836531,17,34412579,18,32298602,19,35306660,19,31950074,18,33098586,18,31165919,18,42157927,22,39003054,21,37969633,21,37296598,22
93637,22453270,20,22106604,17,28036608,19,18726464,20,16731253,13,13003786,14,15365313,14,26679327,23,29782841,24,24781448,21,23468147,22
94544,26476072,17,24051134,14,23062746,17,23973301,17,23088444,19,20687340,14,21473861,16,27796070,22,23848894,21,24415081,22,23134877,22
95380,31017667,20,27490994,15,41164474,21,30466241,19,26163088,13,43324628,16,42322296,19,44181217,19,44424700,20,42508930,20,39917773,22
96003,19145972,22,16247161,21,16224894,21,16266126,21,15366905,18,10671335,14,17237951,22,13883161,23,16671191,23,14747890,22,13601036,22
91911,35785712,18,32204321,18,38172621,20,32291430,19,33912452,19,35718604,18,41470346,16,49809044,21,50651228,20,50265792,21,48840406,21
92025,41725481,21,38995668,19,44650904,21,44446842,22,34994928,20,34429034,18,35520619,18,33146670,19,37247438,20,35781046,17,40050086,21
92154,23205537,17,22778332,17,29158925,18,23463183,19,21669359,18,27804261,18,33675170,21,39628119,23,45866699,24,37216904,22,32919802,21
93722,29588677,22,31344043,20,37982464,26,35496682,24,32410067,23,23759973,17,35017671,19,37871657,23,34534718,20,33409164,18,33566315,21
94080,51249855,22,52767604,20,52618832,21,50861823,19,46642250,16,42514990,14,46932689,15,57385974,22,59581687,21,58659349,20,67172175,21
